CustomerID,Recency,Frequency,Monetary,Cluster,Segment,Churn,Risk_Probability
12346.0,325,1,77183.6,2,VIP,1,1.0
12347.0,1,182,4310.0,0,Regular,0,0.0
12348.0,74,31,1797.24,0,Regular,0,0.0
12349.0,18,73,1757.55,0,Regular,0,0.0
12350.0,309,17,334.40000000000003,2,VIP,1,1.0
12352.0,35,85,2506.04,0,Regular,0,0.0
12353.0,203,4,89.0,2,VIP,1,1.0
12354.0,231,58,1079.4,2,VIP,1,1.0
12355.0,213,13,459.4,2,VIP,1,1.0
12356.0,22,59,2811.43,0,Regular,0,0.0
12357.0,32,131,6207.67,0,Regular,0,0.0
12358.0,1,19,1168.06,0,Regular,0,0.0
12359.0,57,248,6372.58,0,Regular,0,0.0
12360.0,51,129,2662.06,0,Regular,0,0.0
12361.0,286,10,189.9,2,VIP,1,1.0
12362.0,2,266,5226.2300000000005,0,Regular,0,0.0
12363.0,109,23,552.0,0,Regular,1,1.0
12364.0,7,85,1313.1,0,Regular,0,0.0
12365.0,290,22,641.38,2,VIP,1,1.0
12367.0,3,11,168.9,0,Regular,0,0.0
12370.0,50,167,3545.69,0,Regular,0,0.0
12371.0,44,63,1887.96,0,Regular,0,0.0
12372.0,71,52,1298.04,0,Regular,0,0.0
12373.0,310,14,364.6,2,VIP,1,1.0
12374.0,24,33,742.9300000000001,0,Regular,0,0.0
12375.0,10,17,457.5,0,Regular,0,0.0
12377.0,314,77,1628.12,2,VIP,1,0.99
12378.0,129,219,4008.62,0,Regular,1,0.98
12379.0,81,40,852.24,0,Regular,0,0.0
12380.0,21,104,2724.81,0,Regular,0,0.0
12381.0,4,87,1845.31,0,Regular,0,0.0
12383.0,184,99,1850.56,2,VIP,1,1.0
12384.0,28,27,585.27,0,Regular,0,0.0
12386.0,337,10,401.9,2,VIP,1,1.0
12388.0,15,100,2780.6600000000003,0,Regular,0,0.0
12390.0,79,32,549.84,0,Regular,0,0.0
12391.0,21,100,460.89,0,Regular,0,0.01
12393.0,71,64,1582.6,0,Regular,0,0.0
12394.0,63,27,1272.48,0,Regular,0,0.0
12395.0,18,156,3018.63,0,Regular,0,0.0
12397.0,35,126,2409.9,0,Regular,0,0.0
12398.0,45,85,1635.66,0,Regular,0,0.01
12399.0,118,59,1108.65,0,Regular,1,1.0
12401.0,302,5,84.3,2,VIP,1,1.0
12402.0,322,11,225.6,2,VIP,1,1.0
